ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO_NOMBRE,ingreso_medio_real,ingreso_mediano_real,p25_real,p75_real,p90_real,ocupados,ocupados_con_ingreso_valido,no_respuesta_ingreso,tasa_no_respuesta_ingreso
2018,1,2018-01-01,2018T1,Neuquen-Plottier,1355183.399522212,1212507.424362695,757817.1402266845,1667197.7084987056,2273451.420680053,453,392,58,12.803532008830022
2018,2,2018-04-01,2018T2,Neuquen-Plottier,1406626.8339933539,1123281.9379891714,702051.2112432322,1755128.0281080804,2667794.602724282,488,444,40,8.19672131147541
2018,3,2018-07-01,2018T3,Neuquen-Plottier,1535424.3375768121,1259121.8348248005,755473.1008948802,2077551.0274609209,3147804.5870620008,467,398,65,13.9186295503212
2018,4,2018-10-01,2018T4,Neuquen-Plottier,1398693.4282661937,1208949.985437921,686903.4008170005,1813424.9781568816,2747613.603268002,478,427,47,9.832635983263598
2019,1,2019-01-01,2019T1,Neuquen-Plottier,1330273.9582811587,1247920.3249677161,748752.1949806296,1747088.4549548025,2495840.6499354322,453,394,54,11.920529801324504
2019,2,2019-04-01,2019T2,Neuquen-Plottier,1320852.9284036038,1123238.5322588987,673943.1193553392,1617463.4864528142,2695772.477421357,520,455,46,8.846153846153847
2019,3,2019-07-01,2019T3,Neuquen-Plottier,1318740.528222902,1184604.9575863564,682169.0617824881,1633937.8725329055,2450906.808799358,518,481,30,5.7915057915057915
2019,4,2019-10-01,2019T4,Neuquen-Plottier,1259103.012513903,1083387.6640795988,722258.4427197325,1625081.4961193982,2347339.938839131,500,469,22,4.3999999999999995
2020,1,2020-01-01,2020T1,Neuquen-Plottier,1320048.4510880094,1161364.3858901337,564091.2731466363,1659091.979843048,2654547.167748877,414,386,18,4.3478260869565215
2020,2,2020-04-01,2020T2,Neuquen-Plottier,1263294.6872320846,1030296.226700801,561979.7600186187,1717160.3778346684,2497687.8223049724,218,188,21,9.63302752293578
2020,3,2020-07-01,2020T3,Neuquen-Plottier,1078349.722309996,905798.6600852883,525947.6090817803,1460965.5807827231,2103790.436327121,383,300,72,18.79895561357702
