variable,categoria,anio,aglomerado,tasa_actividad,tasa_empleo,tasa_desocupacion,casos
NIVEL_ED_DESC,Sin instruccion,2019,Mar del Plata,1.0166052117102626,0.8215991487044966,19.182083739045762,388
NIVEL_ED_DESC,Superior/univ. completa,2019,Mar del Plata,80.55999255617759,77.45426443145222,3.855174294560213,708
NIVEL_ED_DESC,Superior/univ. incompleta,2019,Mar del Plata,66.55015140110466,54.801013235996685,17.654562638475007,554
NIVEL_ED_DESC,Primaria completa,2019,Neuquen-Plottier,47.382713614097376,45.2871749350692,4.42258055563265,588
NIVEL_ED_DESC,Primaria incompleta,2019,Neuquen-Plottier,9.503399270006092,8.799823162480253,7.403415215294719,699
NIVEL_ED_DESC,Secundaria completa,2019,Neuquen-Plottier,72.5415158405205,67.94489578434629,6.336537089023171,865
NIVEL_ED_DESC,Secundaria incompleta,2019,Neuquen-Plottier,43.96651487142492,40.42637930775358,8.051890339782593,1014
NIVEL_ED_DESC,Sin instruccion,2019,Neuquen-Plottier,1.0659879753605548,0.8197779499096308,23.09688581314879,410
NIVEL_ED_DESC,Superior/univ. completa,2019,Neuquen-Plottier,80.15148403318459,78.1717358427155,2.470008153123423,564
NIVEL_ED_DESC,Superior/univ. incompleta,2019,Neuquen-Plottier,52.33519350301711,51.07935211651014,2.3996116235522575,394
NIVEL_ED_DESC,Primaria completa,2020,Mar del Plata,45.66157367024021,39.74913319014166,12.948394032139898,405
NIVEL_ED_DESC,Primaria incompleta,2020,Mar del Plata,5.802790913724251,3.042844332045186,47.56239924398243,330
NIVEL_ED_DESC,Secundaria completa,2020,Mar del Plata,64.75068345309468,55.34482142927997,14.52627450740086,593
NIVEL_ED_DESC,Secundaria incompleta,2020,Mar del Plata,32.68671807139282,24.23481552272354,25.857299378325532,575
NIVEL_ED_DESC,Sin instruccion,2020,Mar del Plata,1.9854191589461883,1.0203370008958794,48.60848419346123,193
NIVEL_ED_DESC,Superior/univ. completa,2020,Mar del Plata,74.01606763296627,70.83280294933532,4.30077520386012,510
NIVEL_ED_DESC,Superior/univ. incompleta,2020,Mar del Plata,52.51547296581571,42.059833845315744,19.90963525608147,381
NIVEL_ED_DESC,Primaria completa,2020,Neuquen-Plottier,50.65170166545981,46.772127221077255,7.6593170946280305,392
NIVEL_ED_DESC,Primaria incompleta,2020,Neuquen-Plottier,6.758483237939493,5.3607931316435,20.68052930056711,491
NIVEL_ED_DESC,Secundaria completa,2020,Neuquen-Plottier,73.64272731206994,68.59771930583805,6.85065340512587,543
NIVEL_ED_DESC,Secundaria incompleta,2020,Neuquen-Plottier,40.30697272496588,32.192015691545905,20.132886408493842,757
NIVEL_ED_DESC,Sin instruccion,2020,Neuquen-Plottier,2.285954583683768,2.0756938603868798,9.197939661515822,289
NIVEL_ED_DESC,Superior/univ. completa,2020,Neuquen-Plottier,78.3811557371501,75.50381204964587,3.6709635886887844,459
NIVEL_ED_DESC,Superior/univ. incompleta,2020,Neuquen-Plottier,50.13158396582631,45.785117662763646,8.670115642118077,331
NIVEL_ED_DESC,Primaria completa,2021,Mar del Plata,52.03403444045297,48.022160045426325,7.710096743733709,573
NIVEL_ED_DESC,Primaria incompleta,2021,Mar del Plata,8.581257449794046,7.781281590898804,9.322361711854274,481
NIVEL_ED_DESC,Secundaria completa,2021,Mar del Plata,67.00990437907836,60.28967127291238,10.02871615537503,732
NIVEL_ED_DESC,Secundaria incompleta,2021,Mar del Plata,37.00745977198029,31.678083107887602,14.400817286377917,877
NIVEL_ED_DESC,Sin instruccion,2021,Mar del Plata,4.144857367181366,3.5805417429992152,13.614838200473558,265
NIVEL_ED_DESC,Superior/univ. completa,2021,Mar del Plata,74.24654266186485,70.46294956816584,5.095985561146358,579
NIVEL_ED_DESC,Superior/univ. incompleta,2021,Mar del Plata,60.25295130578574,51.80155538011078,14.02652607468777,488
NIVEL_ED_DESC,Primaria completa,2021,Neuquen-Plottier,52.38432989690721,47.490309278350516,9.342527866994143,493
NIVEL_ED_DESC,Primaria incompleta,2021,Neuquen-Plottier,8.523395881856045,7.913047299573732,7.160861594867095,716
NIVEL_ED_DESC,Secundaria completa,2021,Neuquen-Plottier,72.17127388340046,67.59335791098691,6.343127571517733,880
NIVEL_ED_DESC,Secundaria incompleta,2021,Neuquen-Plottier,42.04302235338746,37.28487953253822,11.31731867622469,1061
NIVEL_ED_DESC,Sin instruccion,2021,Neuquen-Plottier,1.7362115863186527,1.5410944747133184,11.238095238095239,399
NIVEL_ED_DESC,Superior/univ. completa,2021,Neuquen-Plottier,82.16377611749594,78.34340934614634,4.6496971681126205,526
NIVEL_ED_DESC,Superior/univ. incompleta,2021,Neuquen-Plottier,48.08816642243138,42.879156406266524,10.83220759636832,486
NIVEL_ED_DESC,Primaria completa,2022,Mar del Plata,53.07323721308846,50.55285585663365,4.748874364560638,544
NIVEL_ED_DESC,Primaria incompleta,2022,Mar del Plata,9.51243118988567,9.011856512007743,5.262321144674085,462
NIVEL_ED_DESC,Secundaria completa,2022,Mar del Plata,68.46556862511206,60.855756703713304,11.114801314317292,841
NIVEL_ED_DESC,Secundaria incompleta,2022,Mar del Plata,37.37658193710292,33.90185602598096,9.296532028983306,783
NIVEL_ED_DESC,Sin instruccion,2022,Mar del Plata,1.399043591668972,0.9908480643176134,29.176755447941886,233
